Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,benefitsReviewPreprocess,sideEffectsReviewPreprocess,commentsReviewPreprocess
2202,enalapril,4,Highly Effective,Mild Side Effects,management of congestive heart failure,"slowed the progression of left ventricular dysfunction into overt heart failure 

alone or with other agents in the managment of hypertension 

mangagement of congestive heart failur","cough, hypotension , proteinuria, impotence , renal failure , angina pectoris , tachycardia , eosinophilic pneumonitis, tastes disturbances , anusease anorecia , weakness fatigue insominca weakness","monitor blood pressure , weight and asses for resolution of fluid","['slowed', 'progression', 'left', 'heart', 'failure', 'alone', 'hypertension', 'heart']","['cough', 'impotence', 'tachycardia', 'taste', 'disturbance', 'weakness', 'fatigue', 'weakness']","['monitor', 'blood', 'pressure', 'weight', 'fluid']"
3117,ortho-tri-cyclen,1,Highly Effective,Severe Side Effects,birth prevention,"Although this type of birth control has more cons than pros, it did help with my cramps. It's also effective with the prevention of pregnancy. (Along with use of condoms as well)","Heavy Cycle, Cramps, Hot Flashes, Fatigue, Long Lasting Cycles. It's only been 5 1/2 months, but i'm concidering changing to a different bc. This is my first time using any kind of bc, unfortunately due to the constant hassel, i'm not happy with the results.","I Hate This Birth Control, I Would Not Suggest This To Anyone.","['although', 'type', 'birth', 'control', 'ha', 'pro', 'help', 'cramp', 'also', 'effective', 'prevention', 'pregnancy', 'along', 'use', 'condom', 'well']","['heavy', 'cycle', 'cramp', 'hot', 'flash', 'fatigue', 'long', 'lasting', 'cycle', '5', '1', '2', 'month', 'changing', 'different', 'first', 'time', 'using', 'kind', 'unfortunately', 'due', 'constant', 'happy', 'result']","['hate', 'birth', 'control', 'would', 'suggest', 'anyone']"
1146,ponstel,10,Highly Effective,No Side Effects,menstrual cramps,"I was used to having cramps so badly that they would leave me balled up in bed for at least 2 days.  The Ponstel doesn't take the pain away completely, but takes the edge off so much that normal activities were possible. Definitely a miracle medication!!",Heavier bleeding and clotting than normal.,"I took 2 pills at the onset of my menstrual cramps and then every 8-12 hours took 1 pill as needed for about 3-4 days until cramps were over. If cramps are bad, make sure to take every 8 hours on the dot because the medication stops working suddenly and unfortunately takes about an hour to an hour and a half to kick back in.. if cramps are only moderate, taking every 12 hours is okay.","['wa', 'used', 'cramp', 'badly', 'would', 'leave', 'bed', 'least', '2', 'day', 'doe', 'take', 'pain', 'away', 'completely', 'take', 'edge', 'much', 'normal', 'activity', 'possible', 'definitely', 'miracle', 'medication']","['bleeding', 'normal']","['took', '2', 'pill', 'onset', 'menstrual', 'cramp', 'every', '8', '12', 'hour', 'took', '1', 'pill', 'needed', '3', '4', 'day', 'cramp', 'cramp', 'bad', 'make', 'sure', 'take', 'every', '8', 'hour', 'dot', 'medication', 'stop', 'working', 'suddenly', 'unfortunately', 'take', 'hour', 'hour', 'half', 'kick', 'back', 'cramp', 'moderate', 'taking', 'every', '12', 'hour', 'okay']"
3947,prilosec,3,Marginally Effective,Mild Side Effects,acid reflux,"The acid reflux went away for a few months after just a few days of being on the drug. The heartburn started again as soon as I stopped taking it. So I began treatment again. 6 months passed and I stopped taking it. The heartburn came back, and seemed worse even. The doctor said I should try another 6 month treatment. I did, and the same exact thing happened. This went on for about three years. I asked why this wasn't curing my reflux. The doctor quite frankly told me that it wasn't a cure, but a ""treatment for the symptoms"". I was told that I would probably be on it for the rest of my life.","Constipation, dry mouth and some mild dizziness that would go away after medication was stopped for a few days.","I was given Prilosec prescription at a dose of 45mg per day. Medication was taken once, every morning before eating. Each treatment duration was for 6 months.","['acid', 'reflux', 'went', 'away', 'month', 'day', 'drug', 'heartburn', 'started', 'soon', 'stopped', 'taking', 'began', 'treatment', '6', 'month', 'passed', 'stopped', 'taking', 'heartburn', 'came', 'back', 'seemed', 'worse', 'even', 'doctor', 'said', 'try', 'another', '6', 'month', 'treatment', 'exact', 'thing', 'happened', 'went', 'three', 'year', 'asked', 'wa', 'reflux', 'doctor', 'quite', 'told', 'wa', 'cure', 'treatment', 'symptom', 'wa', 'told', 'would', 'probably', 'rest', 'life']","['constipation', 'dry', 'mouth', 'mild', 'dizziness', 'would', 'go', 'away', 'medication', 'wa', 'stopped', 'day']","['wa', 'given', 'prilosec', 'prescription', 'dose', 'per', 'day', 'medication', 'wa', 'taken', 'every', 'morning', 'eating', 'treatment', 'duration', 'wa', '6', 'month']"
1951,lyrica,2,Marginally Effective,Severe Side Effects,fibromyalgia,"I think that the Lyrica was starting to help with the pain, but the side-effects were just too severe to continue.",I felt extremely drugged and dopey.  Could not drive at all while on this med.  Also had extreme ankle and feet swelling and couldn't even wear shoes.,See above,"['think', 'lyrica', 'wa', 'starting', 'help', 'pain', 'side', 'effect', 'severe', 'continue']","['felt', 'extremely', 'drugged', 'dopey', 'could', 'drive', 'med', 'also', 'extreme', 'ankle', 'foot', 'swelling', 'could', 'even', 'wear']",['see']
2372,propecia,1,Ineffective,Severe Side Effects,hair loss,"after taking propecia for over a year, starting when i was 20 years of age my hair continued to thin, and i noticed no significant benefits","Low sex drive, before i started taking this drug i was 19 years of age and full of ""enthousiasm"". Now engaged and 21 years old, my sex drive is very low, my wife and I are very unsatisfied. I am also very tired even during peak hours throughout the day, and its hard to concentrate on mundain tasks",one pill once daily,"['taking', 'propecia', 'year', 'starting', 'wa', '20', 'year', 'age', 'hair', 'continued', 'thin', 'noticed', 'significant', 'benefit']","['low', 'sex', 'drive', 'started', 'taking', 'drug', 'wa', 'year', 'age', 'full', 'year', 'old', 'sex', 'drive', 'low', 'also', 'tired', 'even', 'hour', 'throughout', 'day', 'hard', 'concentrate', 'task']","['one', 'pill', 'daily']"
1043,vyvanse,9,Highly Effective,Mild Side Effects,add,"My mood has noticably improved, I have more energy, experience better sleep and digestion.","a few experiences of nausiea, heavy moodswings on the days I do not take it, decreased appetite, and some negative affect on my short-term memory.",I had began taking 20mg of Vyvanse for three months and was surprised to find that such a small dose affected my mood so effectively.  When it came to school work though I found that I needed the 30mg to increase my level of focus (and have been on it for a month since).  I had not experienced decreased appetite until about a month into taking the 20mg.  I find that the greatest benefit of Vyvanse for me is that it tends to stabalize my mood on a daily basis and lessens any bouts of anxiety and depression that i used to face before I was perscribed.,"['mood', 'ha', 'improved', 'energy', 'experience', 'better', 'sleep']","['experience', 'heavy', 'day', 'take', 'decreased', 'appetite', 'negative', 'affect', 'short', 'term', 'memory']","['began', 'taking', '20mg', 'vyvanse', 'three', 'month', 'wa', 'find', 'small', 'dose', 'affected', 'mood', 'effectively', 'came', 'school', 'work', 'though', 'found', 'needed', '30mg', 'increase', 'level', 'focus', 'month', 'since', 'experienced', 'decreased', 'appetite', 'month', 'taking', '20mg', 'find', 'benefit', 'vyvanse', 'mood', 'daily', 'basis', 'bout', 'anxiety', 'depression', 'used', 'face', 'wa', 'perscribed']"
2715,elavil,10,Considerably Effective,No Side Effects,depression,"Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage.",None.,"One a day, taken about an hour before bedtime.","['although', 'drug', 'wa', 'originally', 'prescribed', 'depression', 'helped', 'sleeplessness', 'therefore', 'continued', 'take', 'alone', 'still', 'occasion', 'problem', 'falling', 'asleep', 'find', '12', 'year', 'increase', 'elavil', 'dosage']",['none'],"['one', 'day', 'taken', 'hour', 'bedtime']"
1591,xanax,10,Highly Effective,No Side Effects,panic disorder,"This simply just works fast and without any of the nasty side effects of SSRI medicines. I won't go into a long story of my panic attacks which I sought help for many years after the fact. This just works and it does what it's supposed to without any annoying side effects. When taken daily, it has stopped my panic attacks from starting and thinking patterns that lead to them. I find it can also be used as needed along with the daily treatment.","I really don't have any side effects other than the mild but very tolerable issue of taking it 4-5 times a day which isn't an effect but just the way you need to take this. At first, within the first 1 day then couple of weeks after starting, this medicine is broken down by your body fast and you need to adjust your dose. Once I got past the ups and downs of the first week or two of getting this increased from .25 mg - 3 times per day to what I'm on now things are so stable and just smooth.","I first started taking this at 3 times per day with .25 mg pills. I was advised not to take as needed with my panic attacks as that would reinforce the idea of taking a pill when it's needed and not help me work around my anxiety. This is totally true. At first I wished to only take them as needed but with my doctor's advice, he was right. This really does work when you take it daily at 3-5 times per day. This way your body adjusts to what's going on with the panic and makes no association with taking a pill to prevent or stop it, they just don't start in the first place. Yes, I still do have minor attacks and worry episodes here and there but nothing at all like the many years before this. I wish that this extremely helpful medicine would not have such a bad name in media, news and pharmacies. This works wonders and there is no want or need to take more or become and addict. People and doctor's need to  understand more on how to treat someone with something that just WORKS, rather than trying to give them SSRI's which are what the drugs companies push, all for money reasons. And, the doctor's out there who decide that SSRI's are the only option, they need to go back to medical school!","['simply', 'work', 'fast', 'without', 'nasty', 'side', 'effect', 'ssri', 'medicine', 'go', 'long', 'panic', 'attack', 'sought', 'help', 'many', 'year', 'fact', 'work', 'doe', 'supposed', 'without', 'annoying', 'side', 'effect', 'taken', 'daily', 'ha', 'stopped', 'panic', 'attack', 'starting', 'thinking', 'pattern', 'lead', 'find', 'also', 'used', 'needed', 'along', 'daily', 'treatment']","['really', 'side', 'effect', 'mild', 'tolerable', 'issue', 'taking', '4', '5', 'time', 'day', 'effect', 'way', 'need', 'take', 'first', 'within', 'first', '1', 'day', 'couple', 'week', 'starting', 'medicine', 'broken', 'body', 'fast', 'need', 'adjust', 'dose', 'got', 'past', 'ups', 'first', 'week', 'two', 'getting', 'increased', '25', 'mg', '3', 'time', 'per', 'day', 'thing', 'stable']","['first', 'started', 'taking', '3', 'time', 'per', 'day', '25', 'mg', 'pill', 'wa', 'advised', 'take', 'needed', 'panic', 'attack', 'would', 'idea', 'taking', 'pill', 'needed', 'help', 'work', 'around', 'anxiety', 'totally', 'true', 'first', 'take', 'needed', 'doctor', 'advice', 'wa', 'right', 'really', 'doe', 'work', 'take', 'daily', '3', '5', 'time', 'per', 'day', 'way', 'body', 'going', 'panic', 'make', 'taking', 'pill', 'prevent', 'stop', 'start', 'first', 'place', 'yes', 'still', 'minor', 'attack', 'worry', 'episode', 'nothing', 'like', 'many', 'year', 'wish', 'extremely', 'helpful', 'medicine', 'would', 'bad', 'name', 'pharmacy', 'work', 'wonder', 'want', 'need', 'take', 'become', 'people', 'doctor', 'need', 'understand', 'treat', 'someone', 'something', 'work', 'rather', 'trying', 'give', 'ssri', 'drug', 'company', 'push', 'money', 'reason', 'doctor', 'decide', 'ssri', 'option', 'need', 'go', 'back', 'medical', 'school']"
1686,claritin,1,Ineffective,Extremely Severe Side Effects,allergies,"none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen.",I had some horrifying mental and physical side effects. ruined a year of my life.  read this - it mentions everything i dealt with: http://www.askapatient.com/viewrating.asp?drug=19658&name=CLARITIN,took one 10 mg pill nightly.,"['none', 'nothing', 'help', 'allergy', 'painful', 'version', 'allergy', 'new', 'allergy', 'irritation', 'developing', 'top', 'original', 'one', 'stuff', 'dangerous', 'side', 'effect', 'many', 'people', 'experiencing', 'listed', 'class', 'action', 'need', 'happen']","['mental', 'physical', 'side', 'effect', 'year', 'life', 'read', 'mention', 'everything', 'http']","['took', 'one', '10', 'mg', 'pill', 'nightly']"
